class,date,network_box(W),pc1(W),pc2(W),pc3(W),pc4(W),pc5(W),time
n,11/11/2024,85.99,42.79,42.81,40.51,45.22,46.81,8:00
n,11/11/2024,85.36,43.02,44.08,41.22,45.22,48.61,8:15
n,11/11/2024,93.74,43.22,42.75,41.07,45.46,48.53,8:30
n,11/11/2024,86.64,42.57,43.11,41.21,43.78,48.46,8:45
n,11/11/2024,85.19,44.17,45.14,42.07,45.77,48.58,9:00
n,11/11/2024,94.31,41.99,44.97,41.51,44.18,46.02,9:15
n,11/11/2024,87.57,44.07,43.9,40.79,43.24,47.01,9:30
n,11/11/2024,81.24,43.83,43.62,39.86,46.59,49.62,9:45
n,11/11/2024,88.06,43.84,43.55,40.06,43.38,48.42,10:00
n,11/11/2024,92.19,41.72,43.85,41.78,46.47,50.07,10:15
y,11/11/2024,82.89,43.73,43.89,40.69,49.18,49.57,10:30
y,11/11/2024,87.7,44.63,45.11,41.11,46.85,51.12,10:45
y,11/11/2024,93.12,44.08,45.75,42.67,45.1,49.68,11:00
y,11/11/2024,81.64,46.1,43.75,42.7,47.88,51.6,11:15
y,11/11/2024,86.94,43.15,46.03,42.75,48.56,51.83,11:30
y,11/11/2024,89.4,45.53,45.04,42.53,47.94,51.89,11:45
y,11/11/2024,82.39,43.65,46.64,40.69,44.72,51.46,12:00
y,11/11/2024,80.85,43.36,45.45,41.23,49.19,49.41,12:15
y,11/11/2024,84,43.75,44.52,42.88,46.73,51.25,12:30
y,11/11/2024,88.64,43.77,46.4,40.76,46.51,49.67,12:45
y,11/11/2024,88.13,42.75,43.83,41.21,47.36,50.75,13:00
y,11/11/2024,88.96,44.87,44.18,41.92,45.97,50.54,13:15
n,11/11/2024,88.14,43.75,44.37,40.13,45.27,47.55,13:30
y,11/11/2024,90.64,43.52,45.54,42.61,48.64,50.05,13:45
y,11/11/2024,87.72,42.87,45.49,41.63,47.47,49.77,14:00
y,11/11/2024,94.65,45.93,44.29,41.69,49.14,51.83,14:15
y,11/11/2024,94.66,45.43,43.74,42.98,47.09,52.17,14:30
y,11/11/2024,86.82,42.88,46.21,43.07,44.57,50.38,14:45
y,11/11/2024,88.11,44.79,45.49,42.6,44.78,51.97,15:00
y,11/11/2024,85.41,44.81,43.82,40.62,44.87,51.24,15:15
y,11/11/2024,89.09,43.25,46.7,42.61,46.61,49.83,15:30
n,11/11/2024,83.22,42.83,45.4,41.87,44.66,49.43,15:45
n,11/11/2024,80.81,42.56,44.39,40.65,43.88,47.81,16:00
n,11/11/2024,91.77,41.96,42.5,41.71,45.49,48.99,16:15
y,11/11/2024,90.82,44.73,44.45,43.04,45.42,49.83,16:30
y,11/11/2024,93.6,43.33,46.99,42.23,46.45,52.1,16:45
y,11/11/2024,89,44.49,44.51,40.61,48.9,50.51,17:00
y,11/11/2024,87.14,45.48,45.81,41.74,48.52,51.54,17:15
y,11/11/2024,92.16,45.62,43.71,42.41,48.16,49.37,17:30
y,11/11/2024,83.21,45.53,43.81,42.67,46.53,52.17,17:45
y,11/11/2024,81.43,44.08,43.71,41.76,46.98,49.91,18:00
y,11/11/2024,89.11,46.11,46.21,43.08,48.69,49.88,18:15
y,11/11/2024,91.66,44.88,47.52,42.31,44.48,52.08,18:30
y,11/11/2024,84.19,44.49,44.16,41.77,46.58,50.42,18:45
y,11/11/2024,87,43.64,46.03,40.7,48.79,50.12,19:00
n,11/11/2024,93.13,42.84,43.76,39.95,46.13,46.4,19:15
n,11/11/2024,89.85,42.82,41.88,39.78,46.79,48.74,19:30
n,11/12/2024,83.11,43.87,50.95,41.64,46.45,46.55,8:00
n,11/12/2024,86.89,42.4,53.27,40.2,45.53,45.29,8:15
n,11/12/2024,89.57,42.4,52.17,40.02,47.21,46.19,8:30
n,11/12/2024,87.99,44.44,51.31,40.93,47.16,45.39,8:45
n,11/12/2024,77.63,42.9,52.26,41.45,46.57,46.28,9:00
n,11/12/2024,89.89,44.31,52.99,40.68,47.29,46.7,9:15
n,11/12/2024,84.74,43.86,53.1,40.36,47.55,46.74,9:30
n,11/12/2024,84.68,44.08,52.21,40.61,47.61,46.28,9:45
n,11/12/2024,80.59,43.68,52.38,41.75,46.2,45.22,10:00
n,11/12/2024,82.56,42.38,51.28,41.84,45.71,45.9,10:15
y,11/12/2024,83.29,45.87,57.22,42.51,47.23,46.57,10:30
y,11/12/2024,91.08,44.22,57.24,41.79,50.73,46.12,10:45
y,11/12/2024,82.07,43.71,57.35,42.89,47.24,47.3,11:00
y,11/12/2024,78.91,43.68,55.47,42.33,49.98,47.61,11:15
y,11/12/2024,87.16,46.05,57.25,42.05,48.63,47.95,11:30
y,11/12/2024,82.58,43.93,56.07,42.31,50.71,45.93,11:45
y,11/12/2024,93.63,46.41,54.16,42.93,50.24,45.6,12:00
y,11/12/2024,79.06,45.28,55.05,42.04,47.83,47.7,12:15
y,11/12/2024,79.66,46.49,54.81,41.75,49.19,47.49,12:30
y,11/12/2024,79.16,45.2,56.49,41.46,48.04,47.53,12:45
y,11/12/2024,81.79,44.72,55.71,42.28,47.63,47.86,13:00
y,11/12/2024,79.28,46.27,55.47,42.36,47.26,47.85,13:15
n,11/12/2024,91.62,42.33,52.4,40.02,47.59,46.27,13:30
y,11/12/2024,86.55,46.33,54.63,42.81,48.12,45.9,13:45
y,11/12/2024,84.27,45.49,55.79,42.89,49.08,46.22,14:00
y,11/12/2024,79.96,43.64,55.9,41.34,50.33,46.99,14:15
y,11/12/2024,81.8,44.83,56.44,42.97,46.51,47.87,14:30
y,11/12/2024,90.21,44.41,54.2,42.55,50.46,45.54,14:45
y,11/12/2024,90.13,44.24,56.27,42.04,47.72,45.38,15:00
y,11/12/2024,90.42,45.55,53.73,42.39,50.53,46.13,15:15
y,11/12/2024,83.97,44.05,54.37,41.69,48.58,47.68,15:30
n,11/12/2024,80.34,44.53,51.68,41.23,46.15,45.62,15:45
n,11/12/2024,81.75,42.08,53.01,40.78,46.25,46.14,16:00
n,11/12/2024,83.68,43.94,52.09,41.77,47.03,46.7,16:15
y,11/12/2024,87.39,44.59,55.47,42.35,47.26,48.18,16:30
y,11/12/2024,85.31,43.65,55.73,42.03,49.8,47.4,16:45
y,11/12/2024,88.71,44.1,57.06,41.48,47.65,45.31,17:00
y,11/12/2024,88.38,46.55,55.24,41.68,50.43,47.47,17:15
y,11/12/2024,87.14,45.56,54.13,41.64,46.47,47.38,17:30
y,11/12/2024,86.4,45.14,57.29,41.57,46.85,47.01,17:45
y,11/12/2024,79.4,43.82,55.08,41.81,47.1,47.39,18:00
y,11/12/2024,83.96,45.12,56.11,41.87,50.59,46.09,18:15
y,11/12/2024,82.64,46.54,55.2,42.31,49.16,48.16,18:30
y,11/12/2024,82.85,44.53,57.4,42.46,46.6,46.21,18:45
y,11/12/2024,80.72,43.94,54.59,42.24,49.9,47.28,19:00
n,11/12/2024,86.92,43.16,50.82,41.45,46.38,44.77,19:15
n,11/12/2024,87.67,42.68,53.11,40.85,45.33,44.75,19:30
n,11/13/2024,87.42,51.64,43.84,38.77,46.72,42.84,8:00
n,11/13/2024,90.47,50.64,43.27,37.71,45.34,44.91,8:15
n,11/13/2024,87.39,53.14,43.14,38.76,45.92,45.48,8:30
n,11/13/2024,87.09,50.22,42.8,36.65,45.68,45.52,8:45
n,11/13/2024,83.49,51.5,43.9,36.29,46.64,43.39,9:00
n,11/13/2024,86.39,49.54,42.03,38.68,45.06,45.76,9:15
n,11/13/2024,81.19,51.66,43.44,37.16,45.28,45.42,9:30
n,11/13/2024,91.26,53.39,42.6,36.29,45.85,42.58,9:45
n,11/13/2024,92.34,51.99,42.59,37.4,47.48,45.5,10:00
n,11/13/2024,81.39,52.27,42.78,38.92,46.36,45.11,10:15
y,11/13/2024,89.09,52.81,42.63,39.77,49.22,45.22,10:30
y,11/13/2024,93.14,56.77,43.54,39.43,47.27,47.46,10:45
y,11/13/2024,95.66,55.37,45.2,38.58,46.51,47.58,11:00
y,11/13/2024,90.71,53.15,45.16,39.39,48.9,45.2,11:15
y,11/13/2024,83.77,56.29,44.89,39.64,48.18,44.62,11:30
y,11/13/2024,79.64,54.23,44.71,38.9,46.94,45.93,11:45
y,11/13/2024,94.94,54.67,43.67,39.65,50.01,45.63,12:00
y,11/13/2024,84.26,56.68,44.67,40.32,48.95,46.96,12:15
y,11/13/2024,88.06,53.68,42.82,38.39,49.58,45.03,12:30
y,11/13/2024,87,54.96,44.44,40.68,49.4,47.56,12:45
y,11/13/2024,88.58,54.41,45.34,40.57,46.92,46.12,13:00
y,11/13/2024,87.68,56.05,44.25,38.5,47.91,45.18,13:15
n,11/13/2024,90.4,53.23,42.86,36.09,44.96,43.25,13:30
y,11/13/2024,89.22,53.47,44.92,39.82,48.01,44.62,13:45
y,11/13/2024,85.3,55.34,43.66,40.42,47.76,45.73,14:00
y,11/13/2024,93.96,53.75,43.5,40.54,49.6,47.68,14:15
y,11/13/2024,78.61,54.65,42.83,40.28,46.06,46.99,14:30
y,11/13/2024,94.52,56.42,44.03,40.05,46.13,47.64,14:45
y,11/13/2024,90.92,55.57,45,38.63,49.42,45.62,15:00
y,11/13/2024,91.94,53.91,44.97,39.42,47.24,46.24,15:15
y,11/13/2024,83.8,52.67,42.94,40.44,46.71,46.09,15:30
n,11/13/2024,91.5,53.01,43.7,37.56,47.62,44.65,15:45
n,11/13/2024,88.99,51.74,43.63,37.54,45.04,43.89,16:00
n,11/13/2024,85.18,51.12,43.76,38.69,45.04,45.35,16:15
y,11/13/2024,91.67,53.98,44.18,38.7,46.21,47.89,16:30
y,11/13/2024,89.39,56.14,44.76,38.7,49.1,47.61,16:45
y,11/13/2024,92.93,53.07,44.21,39.64,48.88,47.58,17:00
y,11/13/2024,78.38,55.07,42.75,39.91,47.62,46.88,17:15
y,11/13/2024,86.49,53.67,42.77,39.19,46.15,45.25,17:30
y,11/13/2024,90.24,56.62,43,39.61,49.44,44.6,17:45
y,11/13/2024,94.87,53.63,45.08,39.05,48.28,47.63,18:00
y,11/13/2024,80.85,54.17,44.69,39.9,46.78,44.24,18:15
y,11/13/2024,88.03,56.26,42.3,39.75,49.59,45.1,18:30
y,11/13/2024,78.82,55.43,42.58,40.65,48.8,47.35,18:45
y,11/13/2024,91.91,56.04,42.36,39.65,46.7,47.83,19:00
n,11/13/2024,88.92,53.45,42.55,38.58,46.08,42.68,19:15
n,11/13/2024,90.6,50.86,42.09,38.41,47.37,42.79,19:30
n,11/14/2024,91.13,42.3,44.44,40.26,43.33,47.73,8:00
n,11/14/2024,78.6,44.63,43.58,39.81,45.12,46.76,8:15
n,11/14/2024,81.2,43.69,46.25,39.64,46.62,46.62,8:30
n,11/14/2024,85.6,44.21,45.76,39.44,43.89,45.55,8:45
n,11/14/2024,82.13,42.35,44.69,39.99,44.22,46.5,9:00
n,11/14/2024,82.32,42.06,46.54,41.47,45.43,44.77,9:15
n,11/14/2024,75.76,42.42,44.74,39.4,44.57,47.09,9:30
n,11/14/2024,83,44.68,46.57,38.65,44.03,44.91,9:45
n,11/14/2024,91.16,42.05,46.35,40.03,44.66,46.05,10:00
n,11/14/2024,81.14,43.11,43.72,40.24,43.83,44.57,10:15
n,11/14/2024,87.57,43.08,45.43,41.21,46.3,44.52,10:30
n,11/14/2024,85.44,44.27,46.1,39.03,44.42,47.54,10:45
n,11/14/2024,83.27,43.11,46.39,40.68,45.2,46.39,11:00
n,11/14/2024,91.11,44.15,45.88,40.79,45.36,47.58,11:15
n,11/14/2024,75.32,42.1,45.88,39.51,44.28,44.64,11:30
n,11/14/2024,84.12,44.49,44.25,38.65,45.13,46.65,11:45
n,11/14/2024,83.91,42.31,44.09,40.61,46.48,45.76,12:00
n,11/14/2024,82.99,43.27,46.77,41.24,46.51,44.42,12:15
n,11/14/2024,88.69,42.65,44.03,40.33,44.7,46.8,12:30
n,11/14/2024,86.53,42.64,45.1,40.04,44.31,47.26,12:45
n,11/14/2024,75.29,42.58,46.28,41.61,46.26,46.15,13:00
n,11/14/2024,92.53,42.87,44.52,39.71,45.13,47.57,13:15
n,11/14/2024,82.19,43.07,43.82,38.59,45.9,46.37,13:30
n,11/14/2024,74.95,42.36,46.47,38.73,43.17,46.29,13:45
n,11/14/2024,83.35,43.68,44.31,40.13,44.78,47.24,14:00
n,11/14/2024,91.06,42.13,45.64,39.36,43.57,47.16,14:15
n,11/14/2024,77.55,44.53,44.88,39.79,44.65,46.44,14:30
n,11/14/2024,76.43,42.61,45.95,38.6,45.31,45.47,14:45
n,11/14/2024,81.53,43.92,43.71,39.14,45.97,46.2,15:00
n,11/14/2024,87.49,43.11,44.54,40.71,45.14,47.73,15:15
n,11/14/2024,77.65,42.79,45.59,38.61,43.48,44.68,15:30
n,11/14/2024,81.61,42.6,45.01,38.93,44.09,44.6,15:45
n,11/14/2024,75.36,42.09,45.21,40.14,46.27,44.92,16:00
n,11/14/2024,78.54,42.1,44.79,39.84,46.58,44.51,16:15
y,11/14/2024,82.64,45.15,46.61,40.76,47.06,49.09,16:30
y,11/14/2024,88.31,44.26,46.12,43.21,44.93,47.34,16:45
y,11/14/2024,89.63,44.24,48.84,41.41,45.08,46.45,17:00
y,11/14/2024,86.45,45.77,47.95,40.51,44.8,48.86,17:15
y,11/14/2024,80.02,45,45.89,42.69,45.76,48.07,17:30
y,11/14/2024,80.36,44.37,47.48,42.7,47.03,46.78,17:45
y,11/14/2024,80.78,44.07,47.23,41.21,47.31,46.44,18:00
y,11/14/2024,85.15,46.16,45.95,42.21,45.99,47.95,18:15
y,11/14/2024,81.76,46.13,47.42,42.08,46.19,47.76,18:30
y,11/14/2024,87.18,44.4,46.2,40.61,47.62,46.3,18:45
y,11/14/2024,84.38,44.69,48.03,40.78,47.73,47.17,19:00
n,11/14/2024,75.11,43.33,46.79,41.58,43.43,47.01,19:15
n,11/14/2024,83.76,44.28,44.2,39.54,46.09,47.72,19:30
n,11/16/2024,78,17.37,35.87,27.28,29.12,32.55,8:00
n,11/16/2024,80.1,14.05,36.62,26.17,27.29,32.51,8:15
n,11/16/2024,81.78,17.21,36.16,29.6,28.86,33.98,8:30
n,11/16/2024,70.68,17.08,35.05,26.34,29.75,32.89,8:45
n,11/16/2024,89.12,14.06,35.61,26.76,28.57,32.64,9:00
n,11/16/2024,87.61,13.9,36.5,27.06,29.72,31.54,9:15
n,11/16/2024,80.21,16.36,35.99,25.47,27.35,33.47,9:30
n,11/16/2024,74.84,17.16,36.44,26.61,27.51,34.29,9:45
y,11/16/2024,82.31,45.37,44.22,42.77,44.18,46.78,10:00
y,11/16/2024,89.82,46.08,44.87,44.13,44.61,46.99,10:15
y,11/16/2024,79.45,45.15,44.73,41.57,45.89,48.04,10:30
y,11/16/2024,79.13,46.16,45.67,42.56,45.09,47.46,10:45
y,11/16/2024,84.37,46.45,45.19,42.86,44.19,46.92,11:00
y,11/16/2024,82.48,46.39,44.54,44.57,45.96,48.13,11:15
y,11/16/2024,89.47,44.37,43.61,44.65,44.79,46.66,11:30
y,11/16/2024,87.99,44.4,44.91,43.5,45.26,47.6,11:45
y,11/16/2024,84.31,45.81,43.35,42.81,45.98,46.59,12:00
y,11/16/2024,84.85,46.47,45.49,42.79,46.61,46.2,12:15
y,11/16/2024,83.09,45.65,45.34,41.54,44.37,47.5,12:30
y,11/16/2024,88.88,44.53,45.58,43.2,45.57,48.13,12:45
y,11/16/2024,87,44.4,44.89,44.08,44.86,47.77,13:00
y,11/16/2024,78.91,45.96,44.24,41.09,45.48,46.85,13:15
n,11/16/2024,78.16,15.1,35.8,26.56,28.73,34.14,13:30
n,11/16/2024,89.46,16.29,35.69,26.85,29.29,32.46,13:45
n,11/16/2024,77.79,13.96,36.33,29.38,28.62,33.53,14:00
n,11/16/2024,88.62,17.61,35.63,28.9,28.71,31.58,14:15
n,11/16/2024,89.26,16.22,35.06,27.27,28.09,34.39,14:30
n,11/16/2024,86.19,17.64,35.8,29.25,29.55,33.51,14:45
n,11/16/2024,80.51,14.45,36.03,29.44,28.54,33.24,15:00
n,11/16/2024,87.05,15.6,36.07,27.68,28.34,34.47,15:15
n,11/16/2024,80.45,13.9,36.25,29.38,28.36,33.71,15:30
n,11/16/2024,79.55,13.99,35.91,28.71,27.73,31.88,15:45
n,11/16/2024,74.57,15.42,34.98,28.01,27.74,34.66,16:00
n,11/16/2024,88.84,16.06,36.53,26.03,28.97,31.58,16:15
n,11/16/2024,75.01,14.08,35.88,29.28,29.35,34.24,16:30
n,11/16/2024,89.06,15.77,34.88,29.14,28.5,33.7,16:45
n,11/16/2024,76.4,17.56,35.12,28.31,29.58,32.42,17:00
n,11/16/2024,84.73,17.08,36.58,28.31,28.99,31.56,17:15
n,11/16/2024,82.01,15.37,34.62,28.46,27.55,34.63,17:30
n,11/16/2024,83.08,16.6,36.45,29.28,29.51,31.61,17:45
n,11/16/2024,89.51,16.02,34.9,26.74,28.59,34.04,18:00
n,11/16/2024,74.16,15.6,34.78,26.06,29.67,32.21,18:15
n,11/16/2024,80,16.7,35.07,26.39,29.07,33.81,18:30
n,11/16/2024,88.41,17.38,35.82,29.18,28.69,31.72,18:45
n,11/16/2024,72.92,14.67,35.84,29.37,27.81,34.73,19:00
n,11/16/2024,72.64,14.52,36.05,27.35,27.96,31.98,19:15
n,11/16/2024,88.95,16.88,35.91,27.5,29.62,34.09,19:30
n,11/17/2024,76.51,39.72,44.62,39.67,49.07,42.77,8:00
n,11/17/2024,82.14,38.86,43.94,39.15,49.38,41.62,8:15
n,11/17/2024,85.03,40.55,44.75,40.14,50.35,40.36,8:30
n,11/17/2024,81.1,38.56,45.42,39.96,51.07,40.81,8:45
n,11/17/2024,79.63,40.43,46.67,39.59,47.33,41.26,9:00
n,11/17/2024,83.44,39.29,43.78,40.2,49.86,41.88,9:15
n,11/17/2024,80.86,38.49,46.05,39.96,48.45,42.66,9:30
n,11/17/2024,82.89,40.12,44.9,41.68,49.23,41.61,9:45
n,11/17/2024,89.35,38.75,45.21,39.87,47.8,40.62,10:00
n,11/17/2024,86.62,39.07,46.28,40.1,50.28,40.92,10:15
y,11/17/2024,90.77,41.58,47,43.38,50.25,44.47,10:30
y,11/17/2024,84.1,40.73,45.51,41.22,51.73,42.21,10:45
y,11/17/2024,84.44,40.35,47.69,42.93,51.3,44.61,11:00
y,11/17/2024,80.99,41.89,48.48,40.71,52.9,42.42,11:15
y,11/17/2024,83.14,41.97,49.36,42.93,50.06,44.34,11:30
y,11/17/2024,87.19,40.92,49,41.05,52.04,44.01,11:45
y,11/17/2024,89.17,40.59,48.15,40.71,50.75,43.4,12:00
y,11/17/2024,80.19,40.01,49.36,42.88,52.59,44.12,12:15
y,11/17/2024,83.26,41,47.88,40.36,49.91,43.6,12:30
y,11/17/2024,79.12,39.87,46.43,41.61,52.45,42.68,12:45
y,11/17/2024,87.15,39.14,45.68,40.45,52.02,43.72,13:00
y,11/17/2024,86.42,40.11,48.39,40.48,50.99,42.53,13:15
n,11/17/2024,88.7,39.99,46.65,39.14,51.73,40.37,13:30
y,11/17/2024,80.9,42.13,49.32,40.08,52.82,42.38,13:45
y,11/17/2024,90.5,39.14,46.43,40.25,51.01,42.44,14:00
y,11/17/2024,92.12,39.73,49.59,41.53,50.29,44.09,14:15
y,11/17/2024,78.81,40.32,47.18,42.63,52.82,43.98,14:30
y,11/17/2024,94.1,40.5,49.66,40.76,49.88,43.87,14:45
y,11/17/2024,89.24,39.89,49.03,42.82,52.15,44.15,15:00
y,11/17/2024,81.54,41.75,45.94,42.18,49.97,43.22,15:15
y,11/17/2024,86.14,41.52,45.45,42.3,52.28,43.23,15:30
n,11/17/2024,83,38.66,47.01,41.31,48.72,41.61,15:45
n,11/17/2024,86.5,39.52,45.07,41.1,47.19,40.84,16:00
n,11/17/2024,87.77,40.43,43.93,40.69,49.36,41.89,16:15
y,11/17/2024,81.18,41.13,48.07,43.34,50.13,43.6,16:30
y,11/17/2024,83.55,41.9,47.88,41.31,52.93,42.25,16:45
y,11/17/2024,93.15,40.31,46.42,41.33,52.98,44.46,17:00
y,11/17/2024,90.4,41.74,49.44,40.78,51.73,43.45,17:15
y,11/17/2024,91.35,40.47,48.94,43.57,51.04,42.93,17:30
y,11/17/2024,92.64,40.82,49.15,42.14,49.39,42.93,17:45
y,11/17/2024,86.71,40.03,48.52,42.98,50.73,42.43,18:00
y,11/17/2024,79.6,41.64,46.64,42.73,52.27,42.82,18:15
y,11/17/2024,80.98,41.97,45.36,42.92,50.8,44.57,18:30
y,11/17/2024,94.46,41.86,47.21,40.9,49.27,43.23,18:45
y,11/17/2024,78.44,40.7,46.62,43.5,51.41,44.55,19:00
n,11/17/2024,80.1,38.3,47.51,40.64,48.54,41.94,19:15
n,11/17/2024,81.23,40.37,44.11,40.06,48.84,41.47,19:30
n,11/18/2024,88.88,36.33,41.9,39.22,48.27,42.6,8:00
n,11/18/2024,79.23,38.07,41.98,39.51,50.08,41.81,8:15
n,11/18/2024,77.7,35.86,43.5,40.36,48.65,42.59,8:30
n,11/18/2024,77.58,39.46,43.56,39.37,48.09,43.11,8:45
n,11/18/2024,89.34,36.7,41.59,39.42,50.41,42.56,9:00
n,11/18/2024,77.41,37.7,41.3,41.02,49.32,42.3,9:15
n,11/18/2024,80.64,36.87,42.51,40.86,50.63,40.97,9:30
n,11/18/2024,78.36,38.57,43.68,41.4,49.06,42.01,9:45
n,11/18/2024,79.61,36.58,42.59,40.58,50.12,43.09,10:00
n,11/18/2024,85.31,36.35,44.18,41.09,48.18,43.38,10:15
y,11/18/2024,86.04,40.51,45.54,40.23,50.93,43.01,10:30
y,11/18/2024,83.24,41.04,43.65,40.27,49.84,42.86,10:45
y,11/18/2024,78.34,39.51,45.24,40.13,52.27,45.45,11:00
y,11/18/2024,83.44,38.29,43.77,40.68,50.14,42.65,11:15
y,11/18/2024,95.39,42.27,45,40.42,51.95,42.94,11:30
y,11/18/2024,83.33,37.13,44.89,40.21,49.4,44.56,11:45
y,11/18/2024,82.3,43.07,44.14,42.6,52.14,44.11,12:00
y,11/18/2024,91.81,43.03,44.98,42.06,51.25,42.7,12:15
y,11/18/2024,89.9,42.44,44.22,41.64,51.11,45.42,12:30
y,11/18/2024,87.21,40.57,43.95,40.97,51.94,43.95,12:45
y,11/18/2024,93.49,37.59,43.86,41.94,49.7,44.51,13:00
y,11/18/2024,78.57,41.34,44.06,42.82,51.68,42.65,13:15
n,11/18/2024,86.37,36.58,42.15,40.54,50.4,43.1,13:30
y,11/18/2024,79.6,40.78,43.59,41.06,49.86,43.28,13:45
y,11/18/2024,80.34,40.73,45.73,42.03,49.73,44.25,14:00
y,11/18/2024,90.98,38.96,45.68,40.37,50.69,45.23,14:15
y,11/18/2024,89.88,42.26,43.74,41.05,52.12,43.78,14:30
y,11/18/2024,83.91,37.89,45.22,40.04,51.39,43.32,14:45
y,11/18/2024,83.87,42.37,45.78,41.26,50.88,44.25,15:00
y,11/18/2024,92.24,37.92,44.64,41.39,50.77,43.62,15:15
y,11/18/2024,83.85,39.44,43.64,40.57,51.05,45.34,15:30
n,11/18/2024,87.3,38.35,42.27,40.07,48.07,43.16,15:45
n,11/18/2024,85.14,38.88,42.97,40.27,50.66,42.78,16:00
n,11/18/2024,79.11,36.04,43.14,39.79,50.14,43.66,16:15
y,11/18/2024,90.59,41,43.97,41.86,49.62,45.53,16:30
y,11/18/2024,80.45,39.72,44.79,41.11,51.44,43.69,16:45
y,11/18/2024,78.49,39.54,45.59,40.24,50.03,42.94,17:00
y,11/18/2024,86.14,38.23,44.14,40.32,51.04,45.49,17:15
y,11/18/2024,88.03,37.96,43.85,41.39,50.7,44.9,17:30
y,11/18/2024,78.53,42.77,45.29,41.88,49.82,45.47,17:45
y,11/18/2024,86.45,42.81,43.64,42.06,50.69,44.62,18:00
y,11/18/2024,80.4,38.14,43.62,41.45,49.79,42.63,18:15
y,11/18/2024,84.74,38.13,45.39,42.68,49.97,43.53,18:30
y,11/18/2024,84.91,39.81,44.67,41.87,50.09,43.47,18:45
y,11/18/2024,78.79,39.26,43.45,41.7,50.7,44.85,19:00
n,11/18/2024,88.28,35.98,42.84,39.95,49.61,42.81,19:15
n,11/18/2024,86.25,39.84,44.45,39.29,49.69,41.1,19:30
